feedback_id,customer_name,feedback,date,product
1,Karthik,Acceptable performance,2025-01-13,Laptop
2,Priya,Great service and fast delivery,2025-12-27,Headphones
3,Anitha,Support team was very helpful,2025-12-15,Smart Watch
4,Anitha,Average experience,2025-10-04,E-commerce
5,Manoj,Great service and fast delivery,2025-12-17,Headphones
6,Priya,Customer support did not respond,2025-06-25,Laptop
7,Divya,Decent product,2025-03-24,Headphones
8,Priya,Support team was very helpful,2025-05-14,Mobile App
9,Rahul,Support team was very helpful,2025-06-13,E-commerce
10,Rahul,Excellent quality and very satisfied,2025-06-27,Banking App
11,Arun,Very happy with the product,2025-08-04,Laptop
12,Manoj,Worst product ever,2025-03-22,Smart Watch
13,Manoj,Poor quality and waste of money,2025-07-15,Mobile App
14,Suresh,Very happy with the product,2025-12-05,Banking App
15,Sneha,Excellent quality and very satisfied,2025-02-01,Smart Watch
16,Anitha,Average experience,2025-04-03,Laptop
17,Priya,Decent product,2025-05-12,Internet Service
18,Karthik,Great service and fast delivery,2025-05-16,Smart Watch
19,Arun,Decent product,2025-06-11,E-commerce
20,Sneha,Poor quality and waste of money,2025-04-21,Laptop
21,Arun,"Amazing experience, highly recommend",2025-01-19,Mobile
22,Karthik,Worst product ever,2025-07-31,Mobile App
23,Rahul,"Amazing experience, highly recommend",2025-05-15,E-commerce
24,Sneha,Excellent quality and very satisfied,2025-01-17,Mobile
25,Karthik,Decent product,2025-10-10,Headphones
26,Rahul,Poor quality and waste of money,2025-08-17,Internet Service
27,Anitha,Customer support did not respond,2025-12-26,Laptop
28,Suresh,Great service and fast delivery,2025-05-18,Mobile
29,Karthik,Great service and fast delivery,2025-11-14,Mobile App
30,Priya,Support team was very helpful,2025-10-17,Internet Service
31,Manoj,Decent product,2025-03-20,Internet Service
32,Suresh,Support team was very helpful,2025-03-26,Internet Service
33,Pooja,Excellent quality and very satisfied,2025-05-03,Headphones
34,Suresh,Worst product ever,2025-09-16,Mobile
35,Arun,Okay for the price,2025-06-16,E-commerce
36,Suresh,Okay for the price,2025-01-19,Smart Watch
37,Karthik,Worst product ever,2025-09-02,Banking App
38,Pooja,Support team was very helpful,2025-01-26,Headphones
39,Priya,Very bad experience and disappointed,2025-11-28,Laptop
40,Pooja,Very bad experience and disappointed,2025-07-23,Mobile App
41,Rahul,Worst product ever,2025-01-27,Banking App
42,Suresh,Worst product ever,2025-03-25,Mobile
43,Anitha,"Amazing experience, highly recommend",2025-05-18,Internet Service
44,Rahul,Great service and fast delivery,2025-10-09,Internet Service
45,Anitha,Very happy with the product,2025-02-17,Internet Service
46,Priya,Decent product,2025-09-14,Laptop
47,Priya,Average experience,2025-03-27,Banking App
48,Pooja,Very happy with the product,2025-09-05,Headphones
49,Suresh,Average experience,2025-04-25,Headphones
50,Karthik,Worst product ever,2025-07-02,Mobile App
51,Pooja,Okay for the price,2025-07-30,Mobile App
52,Anitha,Acceptable performance,2025-10-18,Laptop
53,Pooja,Acceptable performance,2025-06-12,E-commerce
54,Divya,Okay for the price,2025-04-04,Mobile
